Youtube link,Product,Crop,Region,Language,Product Code,Month
https://www.youtube.com/watch?v=9z6ZETR3YlA,Shriram Aleksy,Potato,Uttar Pradesh,Hindi,ALEK024CP,9
https://www.youtube.com/watch?v=HY7PcPNWWM8,Shriram SprayIt Potato,Potato,Uttar Pradesh,Hindi,SPRP038PN,9
https://www.youtube.com/watch?v=2pxu9yBtSMQ,SHRIRAM ULTRAZIB-40,Grapes,Maharashtra,Marathi,ULTR047PN,9
https://www.youtube.com/watch?v=JJzelBYYRww,Shriram Fegro,Grapes,Maharashtra,Marathi,FEGR014PN,9
https://www.youtube.com/watch?v=kJ1EvjynIF8,Shriram SprayIt Potato,Potato,Uttar Pradesh,Hindi,SPRP038PN,9
https://www.youtube.com/watch?v=7w7cbKBvxSo,Shriram 2372,Tomato,All India,Hindi,2372011VS,9
https://www.youtube.com/watch?v=rSEOws-ae_c,Shriram Super 252,Wheat,Punjab,Punjabi,S252003RW,9
https://www.youtube.com/watch?v=zDexzMfK-iY,Shriram SprayIt Potato,Potato,Uttar Pradesh,Hindi,SPRP038PN,9
https://www.youtube.com/watch?v=EFifxdkiLh4,Shriram Super 5-SR-05,Wheat,Bihar,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=QcLdDzrjW0s,Shriram Dripit Vegetables - Grade I,Tomato,Andhra Pradesh,Telugu,DRV1010PN,9
https://www.youtube.com/watch?v=b3SITIKbKUI,Shriram Super 303,Wheat,Bihar,Hindi,S303005RW,9
https://www.youtube.com/watch?v=g1Uy6D0gseY,Shriram 2110,Okra,Madhya Pradesh,Hindi,2110018VS,9
https://www.youtube.com/watch?v=aekAMdqqr-Q,Shriram Phaminox,Wheat,Uttar Pradesh,Hindi,PHAM059CP,9
https://www.youtube.com/watch?v=bRYGKogNDxs,Shriram Super 5-SR-05,Wheat,Bihar,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=I_3swMs-qpY,Shriram Super 5-SR-05,Wheat,Uttar Pradesh,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=7jx0S5A8z2o,Shriram Super 5-SR-05,Wheat,Haryana,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=2fe1fGQ3fo8,Shriram Super 5-SR-05,Wheat,Punjab,Punjabi,SR05007RW,9
https://www.youtube.com/watch?v=9Dm18NxkUFk,Shriram Super 5-SR-05,Wheat,Madhya Pradesh,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=E0OZ9KsZtyI,Shriram Super 5-SR-05,Wheat,Haryana,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=BHVtX7uUGL0,Shriram Super 1-SR-14,Wheat,Madhya Pradesh,Hindi,SR14006RW,9
https://www.youtube.com/watch?v=JEPdwqXJais,Shriram 2110,Okra,Rajasthan,Hindi,2110018VS,9
https://www.youtube.com/watch?v=mkJO2dr1rJI,Shriram Super 3-SR-72,Wheat,Uttar Pradesh,Hindi,SR72008RW,9
https://www.youtube.com/watch?v=6NAYZnHIx1U,Shriram Super 3-SR-72,Wheat,Punjab,Punjabi,SR72008RW,9
https://www.youtube.com/watch?v=MURHo8s0j2A,Shriram Super 3-SR-72,Wheat,All India,Hindi,SR72008RW,9
https://www.youtube.com/watch?v=pqUeirsOjR8,Shriram Super 1-SR-14,Wheat,Gujarat,Gujarati,SR14006RW,9
https://www.youtube.com/watch?v=BFzYakz0NeU,Shriram Super 272,Wheat,Haryana,Punjabi,S272004RW,9
https://www.youtube.com/watch?v=Ep1et2iPGYo,Shriram Super 303,Wheat,All India,Hindi,S303005RW,9
https://www.youtube.com/watch?v=FkR1Nc5DKeA,Shriram Super 5-SR-05,Wheat,Haryana,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=eM9ubJUDdLI,Shriram Super 5-SR-05,Wheat,Uttar Pradesh,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=AWS_GKtppBY,Shriram Super 1-SR-14,Wheat,Gujarat,Gujarati,SR14006RW,9
https://www.youtube.com/watch?v=oEZO4QJIqlg,Shriram Super 5-SR-05,Wheat,Punjab,Punjabi,SR05007RW,9
https://www.youtube.com/watch?v=XTZHVvY-ajc,Shriram 1666,Mustard,Bihar,Hindi,1666018HY,9
https://www.youtube.com/watch?v=B1B7wombDdo,Shriram Super 111,Wheat,Madhya Pradesh,Hindi,S111001RW,9
https://www.youtube.com/watch?v=l5ra9JevVU8,Shriram Super 1-SR-14,Wheat,Madhya Pradesh,Hindi,SR14006RW,9
https://www.youtube.com/watch?v=AWyj2ClKe74,Shriram 1666,Mustard,Uttar Pradesh,Hindi,1666018HY,9
https://www.youtube.com/watch?v=YzKNNXl9TU8,Shriram Super 111,Wheat,Maharashtra,Marathi,S111001RW,9
https://www.youtube.com/watch?v=1sXO8MnmIBM,Shriram 1666,Mustard,Uttar Pradesh,Hindi,1666018HY,9
https://www.youtube.com/watch?v=wZOxAVzaewY,Shriram Super 1-SR-14,Wheat,Rajasthan,Hindi,SR14006RW,9
https://www.youtube.com/watch?v=sBlb_nfQFWY,Shriram 1666,Mustard,Haryana,Hindi,1666018HY,9
https://www.youtube.com/watch?v=8mVC91USZCo,Shriram Super 111,Wheat,Rajasthan,Hindi,S111001RW,9
https://www.youtube.com/watch?v=RdsMQvopgYY,Shriram 1666,Mustard,All India,Hindi,1666018HY,9
https://www.youtube.com/watch?v=-dEA7fIuH0A,Shriram Super 1-SR-14,Wheat,Maharashtra,Marathi,SR14006RW,9
